ID,sex,age,max_rating,current_rating,hours_in_game,games_week,pas01,pas02,pas03,pas04,pas05,pas06,pas07,pas08,pas09,rel01,rel02,rel03,rel04,rel05,rel06,rel07,rel08,rel09,rel10,rel11,rel12,rel13,heroes_3,age_group,pas_total
89,М,21,3500,3400,2000,1-5 игр (по выходным чисто пару каток),1,2,1,4,1,1,1,2,1,4,2,2,2,2,4,2,2,4,3,2,3,2,"Темпларка - 166 игр - 49% (за последнее время -6 месяцев 50 игр- около 65%);
Шейкер - 137 игр - 53%;
Сф - 92 игры - 57%;
В доту поиграть люблю, но при расстановке приоритетов она выходит далеко не на первое место. Играю достаточно редко (2к часов) с 2014 года.",21-29 лет,14
91,М,20,4360,4200,3500,20-30 игр (каждый день по несколько игр),2,2,1,4,2,1,5,4,1,4,2,2,3,4,4,1,2,3,3,1,4,1,"Арк варден(323, 69%) Тинкер (218, 54%) Темпларка (160, 61%)",18-20 лет,22
93,М,15,2700,2300,2700,6-10 игр (пару дней в неделю стабильно-дота),1,1,1,2,1,3,2,4,1,2,4,1,1,3,4,2,3,3,3,2,3,4,"Пудж,401 игры, 50.6%,течис, 346 игр, 56.4%, бх, 152 игры, 53.9%.",17 лет или младше,16
94,М,18,3600,3600,3200,20-30 игр (каждый день по несколько игр),2,2,1,4,1,1,1,3,3,4,2,1,1,5,4,2,2,3,4,1,2,2,"Арк варден, 600 игр, 66%;   ОД, 150 игр, 57%;    Визаж, 24 игры, 60%.",18-20 лет,18
95,М,19,2300,2120,1600,11-20 игр (почти каждый день по несколько игр),2,3,3,3,1,4,5,3,3,3,2,1,1,1,5,4,3,1,3,2,4,4,"Рубик:440 игр 53.7%, ШД:50 игр 58%, Лион:45 игр 60%",18-20 лет,27
96,М,15,2200,2200,1600,Больше 30 игр (по много пабликов каждый день),3,3,4,4,3,5,4,5,3,5,4,5,1,5,3,2,2,3,4,1,1,5,"Shadow Fiend

150
55.33%


Morphling

124
54.84%
3.08


Wraith King

121
65.29%",17 лет или младше,34
98,М,16,1500,1250,2000,6-10 игр (пару дней в неделю стабильно-дота),1,1,2,2,3,2,1,2,1,5,5,1,1,3,3,3,3,4,4,4,1,5,"Hoodwink, 110 игр, 62% винрейт. Anti-mage, 40 игр, 53%. Pudge, 31 игра, 45%",17 лет или младше,15
100,М,18,4700,4500,2000,1-5 игр (по выходным чисто пару каток),1,1,1,1,1,1,5,3,1,3,5,1,1,1,1,1,1,1,5,5,5,5,"рубик,700игр,62%  лион, 360 игр, 54%, бара, 270 игр, 49%",18-20 лет,15
103,М,19,3600,3450,5000,6-10 игр (пару дней в неделю стабильно-дота),1,3,4,4,1,5,5,4,3,4,2,4,2,5,5,4,4,4,4,5,5,5,Meepo ~300 ~58% tb 200 52% am 150 55%,18-20 лет,30
104,М,22,1880,1380,1086,11-20 игр (почти каждый день по несколько игр),3,1,2,3,2,2,2,4,3,4,2,1,1,3,3,3,3,2,2,3,3,3,"Энигма 40 игр 62%
Шаман 67 игр 68%
Варлок 54 игр 52%",21-29 лет,22
105,М,21,1200,100,2000,11-20 игр (почти каждый день по несколько игр),1,2,1,4,2,4,2,5,1,5,1,1,1,5,5,2,2,2,4,5,2,5,"Джагернаут 81 игры 53% ,Врка 55 игр 52% ,Фантомка 55 игр 60%",21-29 лет,22
106,М,20,500,30,400,11-20 игр (почти каждый день по несколько игр),1,4,2,5,5,1,3,5,1,5,3,1,2,4,4,4,3,3,5,5,3,5,"Zeus (67 игр, 56%), Silencer (47 игр, 28%) Lycan (39 игр, 46%)",18-20 лет,27
107,М,38,2000,1000,4000,1-5 игр (по выходным чисто пару каток),1,2,1,3,1,2,5,4,2,5,2,2,1,3,5,3,3,4,5,3,2,4,"вр  1000 - 53, вайпер 400 - 52",30-39 лет,21
108,М,16,1200,820,1568,11-20 игр (почти каждый день по несколько игр),4,1,2,3,4,2,2,4,2,5,4,2,1,5,5,2,3,4,3,4,5,4,"Viper , 91 игра ,48.35% Juggernaut , 89 игр , 53.93% , Hoodwink , 38 игр , 71.05%",17 лет или младше,24
109,М,22,2000,1200,400,6-10 игр (пару дней в неделю стабильно-дота),1,3,3,4,2,2,1,2,1,4,3,2,1,2,3,1,3,2,1,5,5,3,"Тинкер 123 игры, 65%. Виндрейнджер 40 игр, 58 %. феникс 110 игр 63%",21-29 лет,19
110,М,16,2250,2250,2448,20-30 игр (каждый день по несколько игр),2,3,1,5,3,3,4,5,5,5,1,1,1,5,5,1,1,2,2,1,3,3,"колдун, 681, 52%, тинкер 162, 51%, геомант, 125, 51%.",17 лет или младше,31
113,М,20,2800,2550,5484,6-10 игр (пару дней в неделю стабильно-дота),1,1,4,4,1,2,1,1,1,4,2,1,1,2,4,1,2,2,3,2,2,2,"Wraith King
215
% Побед
60.47%

Night Stalker
171
56.14%

Kunkka
136
61.03%",18-20 лет,16
114,М,16,800,800,1000,20-30 игр (каждый день по несколько игр),5,3,3,2,2,1,1,5,4,3,5,1,1,1,1,5,2,1,5,3,1,5,"Lion, 30 игр, 53,33%    Ogre Magi, 29 игр, 44%,    Puck,22 игры, 45%",17 лет или младше,26
115,М,14,2010,1300,1400,20-30 игр (каждый день по несколько игр),1,4,3,3,1,4,1,1,3,5,3,2,1,5,4,3,2,3,4,2,3,1,"Пудж, 104 игры, 52% Алхимик, 84 игры, 68% Акс, 76 игр, 59%",17 лет или младше,21
116,М,16,2000,2000,600,6-10 игр (пару дней в неделю стабильно-дота),5,1,5,5,1,1,5,5,1,1,5,1,1,5,5,5,1,5,1,1,1,1,"Сф, 55 игр, 38,2%. Петушара, 25 игр, 52%. Фантомас, 25 игр, 48%.",17 лет или младше,29
117,М,23,1200,600,2300,1-5 игр (по выходным чисто пару каток),1,2,3,3,1,2,4,4,1,5,5,1,1,4,3,3,2,4,3,4,2,4,"Сларк 101 игра 59.4%, Рики 92 игры 73.9%, Терорблейд 47 игр 59.6%.",21-29 лет,21
119,М,14,990,840,1000,6-10 игр (пару дней в неделю стабильно-дота),3,2,2,3,3,2,1,1,1,3,3,1,1,4,1,1,1,3,4,1,1,4,"Медуза, 36 игр, 72%, антимаг, 19 игр, 63%, джагернаут, 19 игр, 58%.",17 лет или младше,18
120,М,19,3100,2960,2700,11-20 игр (почти каждый день по несколько игр),1,3,5,2,1,1,1,5,5,1,5,1,1,1,1,3,2,5,1,3,5,2,"Мирана, 660 игр, 55.9%, Инвокер, 108 игр, 50%, Луна, 73 игры 49.3%",18-20 лет,24
122,М,20,3500,3000,4000,1-5 игр (по выходным чисто пару каток),1,1,1,5,1,3,3,5,1,5,3,1,1,1,5,1,1,1,5,5,1,1,"Кристалка, 94игры, 52%
Лион, 87 игр, 60%
Андерлорд, 73 игры, 65%",18-20 лет,21
124,М,17,2500,1700,1450,11-20 игр (почти каждый день по несколько игр),1,4,2,5,2,3,2,4,2,4,3,1,1,4,4,3,4,4,5,3,3,3,"Arc Warden  240 игр и 64% . Войд(без лица) 68 игр 50%, Джага (уже не мейню) 55 игр, 47%",17 лет или младше,25
125,М,20,1800,1800,2500,6-10 игр (пару дней в неделю стабильно-дота),1,3,2,3,1,2,2,3,3,4,2,1,1,1,4,3,3,2,2,3,4,3,"SHADOW SHAMAN, 286 игры, 53%
LION, 232 игры, 57%
PHANTOM ASSASSIN, 169 игры, 55%",18-20 лет,20
